contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue,qvalue,is_significant_fdr_10,is_significant_fdr_05
a2_evidence_level_l3:v3_a2_gpt_4_1_l3__vs__v3_a2_gpt_5_2_l3,a2_evidence_level_l3,model_comparison,v3_a2_gpt_4_1_l3,v3_a2_gpt_5_2_l3,mid_scale_mass,30,0.05123449329976679,0.0727513227513227,0.1593796720571261,0.3214619068948951,0.5666666666666667,-0.0060652658589642775,0.10790686787007092,0.08698260347930414,0.08698260347930414,True,False
a2_evidence_level_l3:v3_a2_gpt_4_1_l3__vs__v3_a2_gpt_5_2_l3,a2_evidence_level_l3,model_comparison,v3_a2_gpt_4_1_l3,v3_a2_gpt_5_2_l3,singleton_rate,30,0.28493297680991175,0.27777777777777773,0.23133182122352047,1.231706798065624,0.8666666666666667,0.20362745302799484,0.36479602605928063,0.0001999600079984003,0.00029994001199760045,True,True
a2_evidence_level_l3:v3_a2_gpt_4_1_l3__vs__v3_a2_gpt_5_2_l3,a2_evidence_level_l3,model_comparison,v3_a2_gpt_4_1_l3,v3_a2_gpt_5_2_l3,stage_entropy,30,-0.2419771998129783,-0.19656997882099703,0.2874701950724702,-0.8417470887789836,0.23333333333333334,-0.3393639059696803,-0.14302745405929118,0.0001999600079984003,0.00029994001199760045,True,True
a3_scale_size:v3_a3_gpt_4_1_scale_5__vs__v3_a3_gpt_5_2_scale_5,a3_scale_size,model_comparison,v3_a3_gpt_4_1_scale_5,v3_a3_gpt_5_2_scale_5,abstain_rate,30,0.13999999999999999,0.07500000000000001,0.24544119318147237,0.5704013991509889,0.5666666666666667,0.056625,0.225,0.003799240151969606,0.011397720455908818,True,True
a3_scale_size:v3_a3_gpt_4_1_scale_5__vs__v3_a3_gpt_5_2_scale_5,a3_scale_size,model_comparison,v3_a3_gpt_4_1_scale_5,v3_a3_gpt_5_2_scale_5,mean_expected_stage,30,0.011233477135179925,0.0,0.5174159597244079,0.02171072794345816,0.4666666666666667,-0.16919355666907912,0.1940705756697436,0.904619076184763,0.9046190761847631,False,False
a3_scale_size:v3_a3_gpt_4_1_scale_5__vs__v3_a3_gpt_5_2_scale_5,a3_scale_size,model_comparison,v3_a3_gpt_4_1_scale_5,v3_a3_gpt_5_2_scale_5,mean_subset_size,30,-0.12656679105208515,-0.14905185758513928,0.2672390460399578,-0.4736089015718189,0.3,-0.21727941834782008,-0.03695418372691981,0.014997000599880024,0.022495500899820036,True,True
a3_scale_size:v3_a3_gpt_4_1_scale_5__vs__v3_a3_gpt_5_2_scale_5,a3_scale_size,model_comparison,v3_a3_gpt_4_1_scale_5,v3_a3_gpt_5_2_scale_5,mid_scale_mass,30,0.12121763372601868,0.06504723346828617,0.2483594206902049,0.48807342757181515,0.8,0.03675512503313396,0.2099129201074506,0.011597680463907219,0.022495500899820036,True,True
a3_scale_size:v3_a3_gpt_4_1_scale_5__vs__v3_a3_gpt_5_2_scale_5,a3_scale_size,model_comparison,v3_a3_gpt_4_1_scale_5,v3_a3_gpt_5_2_scale_5,singleton_rate,30,0.05942064285330538,0.12668067226890756,0.23037579867552316,0.25792918872089265,0.6333333333333333,-0.026850829052841436,0.13792862787367416,0.16276744651069786,0.19532093581283744,False,False
a3_scale_size:v3_a3_gpt_4_1_scale_5__vs__v3_a3_gpt_5_2_scale_5,a3_scale_size,model_comparison,v3_a3_gpt_4_1_scale_5,v3_a3_gpt_5_2_scale_5,stage_entropy,30,-0.19059259629875314,-0.2211732560706857,0.21358743421602816,-0.8923399309436088,0.3,-0.2629380084037239,-0.11437813003162547,0.0001999600079984003,0.0011997600479904018,True,True
a4_model_swap:v3_a4_rubric_gpt_4_1_scoring_gpt_5_2__vs__v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,a4_model_swap,swap_pair,v3_a4_rubric_gpt_4_1_scoring_gpt_5_2,v3_a4_rubric_gpt_5_2_scoring_gpt_4_1,abstain_rate,30,-0.26333333333333336,-0.25,0.2504937652652888,-1.051257036495286,0.13333333333333333,-0.34500000000000003,-0.1749583333333335,0.0001999600079984003,0.0011997600479904018,True,True
