contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue,policy_family
c1_bundle_strategy:v3_1_c1_gpt_5_2_bundle_5_random_l2__vs__v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_5_2_bundle_5_random_l2,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,mean_score_expert_agreement_prob,30,0.01841666666666667,0.019999999999999962,0.09897858383241934,0.18606718699721886,0.6,-0.01658750000000001,0.05584374999999995,0.3149370125974805,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_5_2_bundle_5_random_l2__vs__v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_5_2_bundle_5_random_l2,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,mean_subset_size,30,-0.011111111111111124,0.0,0.4150735828532465,-0.026769015350802436,0.4666666666666667,-0.15833333333333335,0.13055555555555554,0.8698260347930414,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_5_2_bundle_5_random_l2__vs__v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_5_2_bundle_5_random_l2,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,mid_scale_mass,30,-0.06296296296296297,0.0,0.2428394861532866,-0.25927810983432537,0.3,-0.14907407407407408,0.02083333333333332,0.15876824635072986,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_5_2_bundle_5_random_l2__vs__v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_5_2_bundle_5_random_l2,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,singleton_rate,30,0.024999999999999977,0.0,0.3878852676280859,0.06445204828962621,0.4,-0.1027777777777778,0.1694444444444444,0.7468506298740252,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_5_2_bundle_5_random_l2__vs__v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_5_2_bundle_5_random_l2,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,stage_entropy,30,0.04786351192600746,0.06105072326467548,0.38450281974745343,0.12448156285939556,0.5333333333333333,-0.0833856625899234,0.18127108969212394,0.49350129974005197,c1_bundle_strategy
c1_bundle_strategy:v3_1_c1_gpt_5_2_bundle_5_random_l2__vs__v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,c1_bundle_strategy,bundle_strategy,v3_1_c1_gpt_5_2_bundle_5_random_l2,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,tbm_conflict,30,0.4351970719719213,0.3376169766890905,0.40129175130261496,1.0844904500509862,0.7666666666666667,0.2986309734205925,0.5763572610990152,0.0001999600079984003,c1_bundle_strategy
c2_l3_projection:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,abstain_rate,30,0.016666666666666666,0.0,0.3074739499291891,0.0542051340300698,0.2,-0.09187499999999998,0.13333333333333333,0.8902219556088782,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,closed_world_conflict,29,-0.20318146551724142,-0.0050000000000000044,0.765864509801178,-0.2652968807367615,0.3103448275862069,-0.49613362068965505,0.06879546336206847,0.14537092581483704,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,mean_expected_stage,29,-0.06896551724137931,-0.125,0.7446299035177929,-0.09261717386794605,0.3448275862068966,-0.3132183908045977,0.19683908045977014,0.6510697860427914,c2_l3_projection
c2_l3_projection:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,c2_l3_projection,evidence_projection,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c3_gpt_4_1_bundle_5_cluster_l3_v2,mean_score_expert_agreement_prob,30,0.00933333333333333,-5.551115123125783e-17,0.06914793403717276,0.134976315103151,0.4,-0.012916666666666677,0.03391666666666667,0.4777044591081784,c2_l3_projection
