method,n_samples,mean_expected_stage,mean_entropy_norm,mean_top1_prob,mean_conflict,expected_stage_mae_vs_reference,entropy_norm_mae_vs_reference,top1_prob_mae_vs_reference,reference_method,is_reference
geometry_first,960,2.8221749375131306,0.5249700031666881,0.6088910083522777,,0.04738423959491508,0.01712927432720208,0.020449030486952596,weighted_linear_pool,False
weighted_linear_pool,960,2.7835164553485696,0.5146865350965022,0.6164485477875806,,,,,weighted_linear_pool,True
log_opinion_pool,960,2.8166078596516413,0.0729540095810469,0.9396678739432377,,0.34447317223022705,0.44173898515683857,0.3232883123529509,weighted_linear_pool,False
local_tbm,960,2.7438616190525593,0.27093565513195,0.8302156803137449,0.6551212425579407,0.2628738660630156,0.31771648032372724,0.21820405135624854,weighted_linear_pool,False
local_closed_world,960,2.8389084568365495,0.09798506362713845,0.9309514209661717,0.5757646131293263,0.2703825786956923,0.3705519815947598,0.26539736732791214,weighted_linear_pool,False
