sample_ordinal,experiment_count,abstain_rate_std,singleton_rate_std,mean_subset_size_std,mean_expected_stage_std,tbm_conflict_std,closed_world_conflict_std,instability_score
3,32,0.3179445072295154,0.2965893217009194,0.5354603185532101,0.9888185542780743,0.399067987862859,0.44902769594918834,2.138812701761719
13,32,0.290421690072412,0.30866036890209325,0.5611354780881693,0.851375896887122,0.40548257838130436,0.4390482704175877,2.0115934339497965
22,32,0.29057350827230866,0.2884661574118219,0.5093282818300688,0.8790377257945581,0.3897982089371165,0.4566034515390182,1.9674056733087575
4,32,0.2821959897179675,0.2954861198136271,0.43379840679769727,0.93316773914882,0.392478719833278,0.4700442602474051,1.944648255478112
19,32,0.2714906209394065,0.3187866405927976,0.5443313919127803,0.7931150769293024,0.39345908950576136,0.41709970611042535,1.9277237303742867
10,32,0.316164003990579,0.3462144244404864,0.41400476927467184,0.8480470144561209,0.3587704561858877,0.4346352521024918,1.924430212161858
6,32,0.29153030606583374,0.297293938163683,0.42498848094289576,0.9011316499900408,0.3833960642943641,0.37596206084077494,1.9149443751624533
25,32,0.21951192193356545,0.30401594842190466,0.3905146102868268,0.9896418199989504,0.34469430886728136,0.47609476013973684,1.9036843006412472
30,32,0.27903925033193167,0.28808382295358037,0.3892356443628235,0.9383755005800638,0.3969298753737368,0.42736099279055517,1.8947342182283993
18,32,0.3137916853171759,0.29387876419411985,0.3813202322193716,0.9000167761035656,0.2847777293390505,0.44862139970128817,1.8890074578342329
24,32,0.24492839638318525,0.3269188556742757,0.44049978165252546,0.8645823525963019,0.3853667724737648,0.437540017577573,1.8769293863062884
2,32,0.2719728920908443,0.3571934283779316,0.45225281499858117,0.7879890231004562,0.4213987253844494,0.47788237133645706,1.869408158567813
15,32,0.2686163396058136,0.33004604378396235,0.38784403669633716,0.8781355969892249,0.43032305995957243,0.4225065353154743,1.864642017075338
29,32,0.20455991314164204,0.29553858302288105,0.40515167601789914,0.9550796552460566,0.4204152183357603,0.47456056438165256,1.8603298274284787
9,32,0.2728101963376854,0.30206459734870067,0.4333703537677847,0.8287314607330446,0.38712413216891367,0.46722499084727614,1.8369766081872152
27,32,0.2808218066617587,0.29516394064642143,0.5153827950448674,0.7442822704060332,0.36413440258843,0.45688568625441034,1.8356508127590807
17,32,0.27018791996825875,0.28796401341173733,0.3980783708969524,0.8669888586580607,0.3867474613526362,0.4635028168252016,1.8232191629350092
1,32,0.31824556860305825,0.2699182885067556,0.3298560887713838,0.8841211735741425,0.2848059429274372,0.38578048753909844,1.80214111945534
11,32,0.18447150973314497,0.2855008016408318,0.3050217762710713,1.0260466272566786,0.42103903761089034,0.4702140168054251,1.8010407149017267
23,32,0.24320918084061155,0.2878237589319201,0.37526752956278325,0.8921788957739596,0.3991560763754108,0.424491259456881,1.7984793651092745
14,32,0.23261638606193705,0.33182561238068653,0.4156694729428026,0.8107451147819879,0.35614729049657956,0.4608807078164994,1.790856586167414
21,32,0.28453059816181914,0.26059550206614696,0.40163395067519747,0.8424652915619376,0.39535453311261065,0.45979868701550963,1.7892253424651012
20,32,0.2571360566177043,0.25989492971496725,0.3489460335604792,0.913428482500584,0.41753348972999876,0.4569943561132721,1.7794055023937347
16,32,0.2836967940737821,0.2770222218229565,0.3589589532602412,0.8435300731049861,0.36139699273971115,0.4508396530206072,1.7632080422619658
12,32,0.2503022366608404,0.23008877838778094,0.3118043464129892,0.9533727797227906,0.40368446594970414,0.4444378486188193,1.745568141184401
7,32,0.3316586797276828,0.24032672478024392,0.29797988900506917,0.868307491944006,0.3947175594860374,0.4761492714669385,1.738272785457002
5,32,0.2802648516970585,0.29316369560805094,0.3429420491316695,0.8205039967543402,0.4085696648888089,0.45909664533356437,1.7368745931911191
26,32,0.2833012118098036,0.23259888927389727,0.28395378654005865,0.9158668884216999,0.37844251092325354,0.38775980008394784,1.7157207760454596
28,32,0.2776585205468366,0.26319957734073085,0.37479948162022375,0.7612504718657427,0.3896401474079574,0.4097473914351146,1.676908051373534
8,32,0.2542729594416713,0.24330718178642363,0.32717176872309617,0.7649445296938702,0.3579119260424973,0.4104517483121354,1.5896964396450612
